word,year
absent-minded,1970
active,1970
adaptable,1970
adventurous,1970
affected,1970
affectionate,1970
aggressive,1970
alert,1970
aloof,1970
ambitious,1970
anxious,1970
apathetic,1970
appreciative,1970
argumentative,1970
arrogant,1970
artistic,1970
assertive,1970
attractive,1970
autocratic,1970
awkward,1970
bitter,1970
blustery,1970
boastful,1970
bossy,1970
calm,1970
capable,1970
careless,1970
cautious,1970
changeable,1970
charming,1970
cheerful,1970
civilized,1970
clear-thinking,1970
clever,1970
coarse,1970
cold,1970
commonplace,1970
complaining,1970
complicated,1970
conceited,1970
confident,1970
confused,1970
conscientious,1970
conservative,1970
considerate,1970
contented,1970
conventional,1970
cool,1970
cooperative,1970
courageous,1970
cowardly,1970
cruel,1970
curious,1970
cynical,1970
daring,1970
deceitful,1970
defensive,1970
deliberate,1970
demanding,1970
dependable,1970
dependent,1970
despondent,1970
determined,1970
dignified,1970
discreet,1970
disorderly,1970
dissatisfied,1970
distractible,1970
distrustful,1970
dominant,1970
dreamy,1970
dull,1970
easy-going,1970
effeminate,1970
efficient,1970
egotistical,1970
emotional,1970
energetic,1970
enterprising,1970
enthusiastic,1970
evasive,1970
excitable,1970
fair-minded,1970
fault-finding,1970
fearful,1970
feminine,1970
fickle,1970
flirtatious,1970
foolish,1970
forceful,1970
foresighted,1970
forgetful,1970
forgiving,1970
formal,1970
frank,1970
friendly,1970
frivolous,1970
fussy,1970
generous,1970
gentle,1970
gloomy,1970
good-looking,1970
good-natured,1970
greedy,1970
handsome,1970
hard-headed,1970
hard-hearted,1970
hasty,1970
headstrong,1970
healthy,1970
helpful,1970
high-strung,1970
honest,1970
hostile,1970
humorous,1970
hurried,1970
idealistic,1970
imaginative,1970
immature,1970
impatient,1970
impulsive,1970
independent,1970
indifferent,1970
individualistic,1970
industrious,1970
infantile,1970
informal,1970
ingenious,1970
inhibited,1970
initiative,1970
insightful,1970
intelligent,1970
interests narrow,1970
interests wide,1970
intolerant,1970
inventive,1970
irresponsible,1970
irritable,1970
jolly,1970
kind,1970
lazy,1970
leisurely,1970
logical,1970
loud,1970
loyal,1970
mannerly,1970
