31-Oct-23, 13:31:53,,,,,,,,,,,
,,,,,,,,,,,,
Straight Section,Name,Location,Period [mm],Length [mm],Gap min. [mm],A(0),A(1),A(2),A(3),A(4),A(5),A(6)
1,U35a,UpStream,35,1600,11,1.9562,1.0131, , , , , 
1,U27b,Middle,27,1600,10.6,1.9986,1.0072, , , , , 
1,U35b,Middle,35,1600,10.6,1.9562,1.0131, , , , , 
1,U27c,DownStream,27,1400,10.9,1.9986,1.0072, , , , , 
2,U35a,UpStream,35,1664,10.8,1.9562,1.0131, , , , , 
2,U21-4b,Middle,21.4,1600,11.3,1.95,1, , , , , 
2,U21-4c,DownStream,21.4,1600,10.9,1.95,1, , , , , 
3,CPMU16-4b,Middle,16.4,2000,5,3.1777,0,0.9846,1.0621,1,1.0992, 
6,CPMU18a,UpStream,18,2000,6,2.66,0,0.872,1.0826,1,1.1456, 
6,U27c,DownStream,27,1600,11.1,1.9986,1.0072, , , , , 
9,U27a,UpStream,27,1600,10.8,1.9986,1.0072, , , , , 
9,IVU17c,DownStream,17,2000,6,1.6861,1.004, , , , , 
10,U35a,UpStream,35,1600,11.3,1.9562,1.0131, , , , , 
10,U27b,Middle,27,1600,11.4,1.9986,1.0072, , , , , 
10,U35b,Middle,35,1600,11.4,1.9562,1.0131, , , , , 
10,U27c,DownStream,27,1641,11.1,1.9986,1.0072, , , , , 
11,CPMU18a,UpStream,18,2000,6,2.978,0,0.988,1.0826,1,1.1456, 
11,IVU22c,DownStream,22,2000,6.8,2.2342,1.1228, , , , , 
12,HU52a,UpStream,52,1600, ,10,0.1805,0.1591,0,10,0.2954,0.1214
12,HU34b,Middle,34,1600, ,0,0.967,0.2431,0,0,1.114,0.186
12,HU42b,Middle,42,1600, ,10,0.1255,0.209,0,10,0.2377,0.155
12,HU38c,DownStream,38,1600,14,0.383, , , , , , 
13,U35a,UpStream,35,1600,10.7,1.9562,1.0131, , , , , 
13,IVU18c,DownStream,18,2000,6,1.6928,1.0046, , , , , 
14,U20a,UpStream,20,1600,11.2,2.0029,1.0022, , , , , 
14,U27a,UpStream,27,1600,11.2,1.9986,1.0072, , , , , 
14,U20b,Middle,20,1600,10.9,2.0029,1.0022, , , , , 
14,U27b,Middle,27,1600,10.9,1.9986,1.0072, , , , , 
14,U20c,DownStream,20,1600,10.6,2.0029,1.0022, , , , , 
14,U27c,DownStream,27,1600,10.6,1.9986,1.0072, , , , , 
15,HPW76a,UpStream,76,390,11.7,0.9839,0,2.9401,0.8016,1,0.6471, 
15,CPMU18b,Middle,18,1500,5.85,3.2077,0,0.9944,1.0771,1,1.1184, 
15,IVU20c,DownStream,20,2000,6,2.2342,1.1228, , , , , 
16,IVU22a,UpStream,22,2000,6,2.2342,1.1228, , , , , 
16,U18-3c,DownStream,18.3,2300,11,1.95,1, , , , , 
16,U22-4c,DownStream,22.4,2300,11,1.95,1, , , , , 
17,W125a,UpStream,125,1600,18.2,2.1905,0,0.9966,1.3027,1,1.191, 
17,U26b,Middle,26,1400,11.4,2.0023,1.0063, , , , , 
17,W150c,DownStream,150,1600,24.7,2.7652,0,0.907,1.24,1,1.13, 
18,U35b,Middle,35,1664,12,1.9562,1.0131, , , , , 
19,U13a,UpStream,13,1600,11.3,1.95,1, , , , , 
19,U32a,UpStream,32,1600,11.3,1.9676,1.0098, , , , , 
19,W150b,Middle,150,1030,26.5,2.6479,0,0.8699,1.24,1,1.13, 
19,U17-6c,DownStream,17.6,1628,11.8,1.9897,1.0012, , , , , 
19,U32c,DownStream,32,1628,11.8,1.9676,1.0098, , , , , 
20,U26a,UpStream,26,1600,10.8,2.0023,1.0063, , , , , 
20,U32a,UpStream,32,1600,10.8,1.9676,1.0098, , , , , 
20,U26b,Middle,26,1600,10.7,2.0023,1.0063, , , , , 
20,U32b,Middle,32,1600,10.7,1.9676,1.0098, , , , , 
20,U26c,DownStream,26,1400,11.3,2.0023,1.0063, , , , , 
20,U32c,DownStream,32,1400,11.3,1.9676,1.0098, , , , , 
21,U32a,UpStream,32,1600,11.4,1.9676,1.0098, , , , , 
21,U42b,Middle,42,1620,15,1.9395,1.0164, , , , , 
21,U42c,DownStream,42,1620,15,1.9395,1.0164, , , , , 
